安徽合肥	31.866942	117.282699
安徽长丰	32.286111	117.174438
安徽淮南	32.642812	117.018639
安徽凤台	32.791416	116.584905
安徽淮北	33.960023	116.791447
安徽濉溪	33.693205	116.736899
安徽芜湖	31.366020	118.384108
安徽铜陵	30.940930	117.819429
安徽蚌埠	32.929499	117.357080
安徽马鞍山	31.688528	118.515882
山东济南	36.682785	117.024967
山东历城	36.099290	118.527663
山东长清	36.428570	116.803552
山东章丘	36.763308	117.470476
山东青岛	36.105215	120.384428
山东崂山	36.195587	120.584906
山东胶南	35.852858	119.856310
山东即墨	36.487909	120.521106
山东胶县	36.099290	118.527663
山东淄博	36.804685	118.059134
山东枣庄	34.807883	117.279305
山东滕县	36.099290	118.527663
山东东营	37.408666	118.612643
江苏南京	32.057236	118.778074
江苏江宁	31.863971	118.835418
江苏六合	34.297345	117.331031
江苏江浦	32.065020	118.635258
江苏徐州	34.271553	117.188107
江苏连云港	34.601549	119.173872
江苏南通	32.014665	120.873801
江苏苏州	31.317987	120.619907
江苏无锡	31.570037	120.305456
江苏常州	31.771397	119.981861
江苏丰县	34.695773	116.615733
江苏沛县	34.700648	116.911468
